Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
0.5,33.81651208,-33.55945544,0.257056634
0.55,30.74228368,-31.84303403,-1.100750345
0.6,28.18042675,-30.28859958,-2.10817283
0.65,26.01270158,-28.87502798,-2.862326395
0.7,24.15465147,-27.58446529,-3.429813825
0.75,22.5443414,-26.40178751,-3.857446114
0.8,21.13532006,-25.31417041,-4.178850355
0.85,19.89206587,-24.31071688,-4.418651009
0.9,18.78695112,-23.3821212,-4.595170076
0.95,17.79816422,-22.52040511,-4.72224089
1,16.90825603,-21.71871077,-4.810454742
1.05,16.10310098,-20.97105749,-4.867956516
1.1,15.37114184,-20.27226161,-4.901119768
1.15,14.70283135,-19.61778706,-4.9149557
1.2,14.09021335,-19.00366084,-4.913447493
1.25,13.52660481,-18.42631752,-4.89971271
1.3,13.00635079,-17.8827268,-4.876376003
1.35,12.5246341,-17.37010577,-4.845471671
1.4,12.07732574,-16.8860776,-4.808751859
1.45,11.66086623,-16.42998339,-4.769117154
1.5,11.27217067,-16.00476743,-4.732596762
1.55,10.90855227,-15.60994567,-4.701393399
1.6,10.56766001,-15.26015937,-4.692499363
1.65,10.24742789,-14.93715222,-4.689724335
1.7,9.946032957,-14.63557314,-4.689540185
1.75,9.661860587,-14.35244895,-4.690588363
1.8,9.393475577,-14.08569692,-4.692221347
1.85,9.139597843,-13.83366927,-4.694071429
1.9,8.899082111,-13.59502587,-4.695943758
1.95,8.670900528,-13.36863443,-4.697733903
2,8.454128015,-13.15351565,-4.699387639
