Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0.5,33.81651208,-33.55945539,0.257056689
0.55,30.74228368,-31.8430334,-1.100749717
0.6,28.18042675,-30.28859893,-2.108172184
0.65,26.01270158,-28.8750266,-2.862325015
0.7,24.15465147,-27.58446276,-3.429811294
0.75,22.5443414,-26.4017856,-3.857444196
0.8,21.13532006,-25.31416891,-4.178848855
0.85,19.89206587,-24.31070771,-4.418641835
0.9,18.78695112,-23.38211343,-4.595162306
0.95,17.79816422,-22.52040158,-4.722237354
1,16.90825603,-21.71870335,-4.810447316
1.05,16.10310098,-20.9710517,-4.867950724
1.1,15.37114184,-20.27224874,-4.901106902
1.15,14.70283135,-19.61777296,-4.914941604
1.2,14.09021335,-19.00360665,-4.913393297
1.25,13.52660481,-18.42629332,-4.899688508
1.3,13.00635079,-17.88267685,-4.876326053
1.35,12.5246341,-17.37005166,-4.845417568
1.4,12.07732574,-16.88598949,-4.808663747
1.45,11.66086623,-16.42903867,-4.768172434
1.5,11.27217067,-16.00245555,-4.730284876
1.55,10.90855227,-15.60393807,-4.6953858
1.6,10.56766001,-15.23041786,-4.662757845
1.65,10.24742789,-14.87965129,-4.632223397
1.7,9.946032957,-14.54924699,-4.60321403
1.75,9.661860587,-14.23765042,-4.575789836
1.8,9.393475577,-13.94516624,-4.551690667
1.85,9.139597843,-13.6700938,-4.530495956
1.9,8.899082111,-13.4096159,-4.510533793
1.95,8.670900528,-13.1633067,-4.492406167
2,8.454128015,-12.92932348,-4.475195468
