Distance (Angstrom),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0.5,33.81651208,-33.55562011,0.260891967
0.55,30.74228368,-31.83886519,-1.096581503
0.6,28.18042675,-30.28406476,-2.103638008
0.65,26.01270158,-28.87017641,-2.857474821
0.7,24.15465147,-27.57921715,-3.424565687
0.75,22.5443414,-26.39607068,-3.85172928
0.8,21.13532006,-25.30814078,-4.172820721
0.85,19.89206587,-24.30418252,-4.412116649
0.9,18.78695112,-23.37511822,-4.588167092
0.95,17.79816422,-22.51286625,-4.714702024
1,16.90825603,-21.71053263,-4.802276599
1.05,16.10310098,-20.96231763,-4.859216652
1.1,15.37114184,-20.26278985,-4.89164801
1.15,14.70283135,-19.60756741,-4.904736056
1.2,14.09021335,-18.99259084,-4.902377489
1.25,13.52660481,-18.41435988,-4.887755071
1.3,13.00635079,-17.86969138,-4.863340589
1.35,12.5246341,-17.35601044,-4.831376346
1.4,12.07732574,-16.87056918,-4.793243438
1.45,11.66086623,-16.41175546,-4.750889221
1.5,11.27217067,-15.97688517,-4.704714501
1.55,10.90855227,-15.56454053,-4.655988255
1.6,10.56766001,-15.17332583,-4.60566582
1.65,10.24742789,-14.80165063,-4.554222742
1.7,9.946032957,-14.44832841,-4.50229545
1.75,9.661860587,-14.1118888,-4.450028209
1.8,9.393475577,-13.79170661,-4.398231036
1.85,9.139597843,-13.48671646,-4.347118617
1.9,8.899082111,-13.1959266,-4.296844491
1.95,8.670900528,-12.91840959,-4.247509066
2,8.454128015,-12.65384961,-4.199721596
