Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
0.5,33.81651208,-33.56173144,0.25478064
0.55,30.74228368,-31.84645287,-1.104169185
0.6,28.18042675,-30.29233641,-2.111909661
0.65,26.01270158,-28.879086,-2.866384416
0.7,24.15465147,-27.58926777,-3.43461631
0.75,22.5443414,-26.4074283,-3.863086901
0.8,21.13532006,-25.32075832,-4.185438266
0.85,19.89206587,-24.31837117,-4.4263053
0.9,18.78695112,-23.39097676,-4.604025636
0.95,17.79816422,-22.5306389,-4.732474683
1,16.90825603,-21.73048783,-4.822231799
1.05,16.10310098,-20.98459178,-4.881490805
1.1,15.37114184,-20.28778861,-4.91664677
1.15,14.70283135,-19.63557913,-4.932747772
1.2,14.09021335,-19.0240175,-4.933804155
1.25,13.52660481,-18.44962777,-4.92302296
1.3,13.00635079,-17.90935434,-4.903003545
1.35,12.5246341,-17.40052061,-4.875886517
1.4,12.07732574,-16.92071062,-4.84338488
1.45,11.66086623,-16.46789206,-4.807025822
1.5,11.27217067,-16.04016784,-4.767997169
1.55,10.90855227,-15.63598825,-4.727435976
1.6,10.56766001,-15.25397051,-4.686310496
1.65,10.24742789,-14.89275831,-4.645330416
1.7,9.946032957,-14.55118728,-4.60515432
1.75,9.661860587,-14.2299331,-4.568072514
1.8,9.393475577,-14.09009626,-4.696620686
1.85,9.139597843,-13.83664146,-4.697043616
1.9,8.899082111,-13.58979598,-4.690713866
1.95,8.670900528,-13.36144736,-4.690546835
2,8.454128015,-13.04310977,-4.58898176
