Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
0.5,33.81651208,-33.55571085,0.260801226
0.55,30.74228368,-31.83899698,-1.0967133
0.6,28.18042675,-30.2842497,-2.10382295
0.65,26.01270158,-28.87034922,-2.857647631
0.7,24.15465147,-27.57944446,-3.424792997
0.75,22.5443414,-26.39641067,-3.852069265
0.8,21.13532006,-25.30842151,-4.173101448
0.85,19.89206587,-24.30457301,-4.412507142
0.9,18.78695112,-23.37556111,-4.58860998
0.95,17.79816422,-22.51342252,-4.715258301
1,16.90825603,-21.71127416,-4.803018132
1.05,16.10310098,-20.96314358,-4.860042603
1.1,15.37114184,-20.26385471,-4.892712868
1.15,14.70283135,-19.6088619,-4.906030547
1.2,14.09021335,-18.99417242,-4.90395907
1.25,13.52660481,-18.416271,-4.889666187
1.3,13.00635079,-17.87206968,-4.86571889
1.35,12.5246341,-17.35879134,-4.834157244
1.4,12.07732574,-16.87402641,-4.796700669
1.45,11.66086623,-16.41610951,-4.75524328
1.5,11.27217067,-15.98698048,-4.714809804
1.55,10.90855227,-15.58468494,-4.676132671
1.6,10.56766001,-15.20677771,-4.639117697
1.65,10.24742789,-14.85101287,-4.603584983
1.7,9.946032957,-14.51592036,-4.569887403
1.75,9.661860587,-14.2037669,-4.541906313
1.8,9.393475577,-13.91252525,-4.519049674
1.85,9.139597843,-13.63785779,-4.498259942
1.9,8.899082111,-13.37945331,-4.4803712
1.95,8.670900528,-13.1350507,-4.464150167
2,8.454128015,-12.90327575,-4.449147737
