Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-o Electronic Energy (Hartree),AP1roGSDSpin_sen-o Total Energy (Hartree)
0.5,33.81651208,-33.55571065,0.260801426
0.55,30.74228368,-31.83899022,-1.096706542
0.6,28.18042675,-30.2842485,-2.103821755
0.65,26.01270158,-28.87035094,-2.857649359
0.7,24.15465147,-27.57944245,-3.424790989
0.75,22.5443414,-26.39641317,-3.852071773
0.8,21.13532006,-25.30841984,-4.173099783
0.85,19.89206587,-24.30456621,-4.412500335
0.9,18.78695112,-23.37556178,-4.588610653
0.95,17.79816422,-22.51342131,-4.715257084
1,16.90825603,-21.71127316,-4.803017133
1.05,16.10310098,-20.96313822,-4.860037243
1.1,15.37114184,-20.26385208,-4.892710238
1.15,14.70283135,-19.6088571,-4.90602574
1.2,14.09021335,-18.99417371,-4.903960357
1.25,13.52660481,-18.41626985,-4.889665036
1.3,13.00635079,-17.87206152,-4.865710731
1.35,12.5246341,-17.35878641,-4.834152311
1.4,12.07732574,-16.87402392,-4.796698179
1.45,11.66086623,-16.41610212,-4.755235891
1.5,11.27217067,-15.98699656,-4.71482589
1.55,10.90855227,-15.58468393,-4.676131657
1.6,10.56766001,-15.20680026,-4.639140246
1.65,10.24742789,-14.850984,-4.603556114
1.7,9.946032957,-14.51587414,-4.569841178
1.75,9.661860587,-14.20420377,-4.54234318
1.8,9.393475577,-13.91264411,-4.519168532
1.85,9.139597843,-13.63821577,-4.498617923
1.9,8.899082111,-13.37948558,-4.480403473
1.95,8.670900528,-13.13493052,-4.464029995
2,8.454128015,-12.90298643,-4.448858417
