Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0.5,33.81651208,-33.55570851,0.260803571
0.55,30.74228368,-31.83898978,-1.096706093
0.6,28.18042675,-30.2842476,-2.103820851
0.65,26.01270158,-28.87035287,-2.85765129
0.7,24.15465147,-27.57944256,-3.424791094
0.75,22.5443414,-26.39640921,-3.85206781
0.8,21.13532006,-25.30840862,-4.173088563
0.85,19.89206587,-24.30457132,-4.412505452
0.9,18.78695112,-23.3755594,-4.588608272
0.95,17.79816422,-22.51341535,-4.715251124
1,16.90825603,-21.71126922,-4.803013188
1.05,16.10310098,-20.96313182,-4.86003084
1.1,15.37114184,-20.26384491,-4.892703074
1.15,14.70283135,-19.60885276,-4.906021406
1.2,14.09021335,-18.99416243,-4.903949083
1.25,13.52660481,-18.41627477,-4.889669957
1.3,13.00635079,-17.87205824,-4.865707445
1.35,12.5246341,-17.35878412,-4.834150021
1.4,12.07732574,-16.87401221,-4.796686463
1.45,11.66086623,-16.41599766,-4.755131422
1.5,11.27217067,-15.98663304,-4.714462369
1.55,10.90855227,-15.58405948,-4.675507205
1.6,10.56766001,-15.20568251,-4.638022501
1.65,10.24742789,-14.84888696,-4.60145907
1.7,9.946032957,-14.51204246,-4.566009503
1.75,9.661860587,-14.19321353,-4.531352946
1.8,9.393475577,-13.89131056,-4.497834987
1.85,9.139597843,-13.60456574,-4.464967899
1.9,8.899082111,-13.332514,-4.433431889
1.95,8.670900528,-13.07393658,-4.40303605
2,8.454128015,-12.82826045,-4.374132437
