Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0.5,33.81651208,-33.55933052,0.257181554
0.55,30.74228368,-31.8429093,-1.100625619
0.6,28.18042675,-30.28840705,-2.107980304
0.65,26.01270158,-28.87488339,-2.862181808
0.7,24.15465147,-27.58424927,-3.429597804
0.75,22.5443414,-26.40155197,-3.857210564
0.8,21.13532006,-25.31389523,-4.17857517
0.85,19.89206587,-24.31032652,-4.418260649
0.9,18.78695112,-23.38159517,-4.594644049
0.95,17.79816422,-22.51976419,-4.721599972
1,16.90825603,-21.71790064,-4.809644606
1.05,16.10310098,-20.97018749,-4.86708651
1.1,15.37114184,-20.2711121,-4.899970258
1.15,14.70283135,-19.6164652,-4.913633842
1.2,14.09021335,-19.00191268,-4.911699336
1.25,13.52660481,-18.42437209,-4.89776728
1.3,13.00635079,-17.88026027,-4.873909477
1.35,12.5246341,-17.3671081,-4.842474005
1.4,12.07732574,-16.88226091,-4.804935164
1.45,11.66086623,-16.42406963,-4.763203393
1.5,11.27217067,-15.98975167,-4.717581001
1.55,10.90855227,-15.57842038,-4.669868112
1.6,10.56766001,-15.18802015,-4.620360141
1.65,10.24742789,-14.81721759,-4.569789699
1.7,9.946032957,-14.46489145,-4.518858489
1.75,9.661860587,-14.12966699,-4.467806404
1.8,9.393475577,-13.81085262,-4.417377046
1.85,9.139597843,-13.50721604,-4.367618197
1.9,8.899082111,-13.21784974,-4.318767627
1.95,8.670900528,-12.94217011,-4.271269579
2,8.454128015,-12.67969062,-4.225562601
