Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0.5,33.81651208,-33.56795474,0.248557343
0.55,30.74228368,-31.85077042,-1.108486736
0.6,28.18042675,-30.2970608,-2.116634052
0.65,26.01270158,-28.88607688,-2.8733753
0.7,24.15465147,-27.59474849,-3.440097022
0.75,22.5443414,-26.41320237,-3.868860968
0.8,21.13532006,-25.32689161,-4.191571548
0.85,19.89206587,-24.32489795,-4.432832084
0.9,18.78695112,-23.39793436,-4.610983236
0.95,17.79816422,-22.53803868,-4.739874459
1,16.90825603,-21.73836153,-4.830105501
1.05,16.10310098,-20.99299618,-4.889895205
1.1,15.37114184,-20.29677504,-4.925633199
1.15,14.70283135,-19.64520747,-4.942376115
1.2,14.09021335,-19.03435899,-4.944145644
1.25,13.52660481,-18.4608148,-4.934209993
1.3,13.00635079,-17.92153251,-4.915181717
1.35,12.5246341,-17.41392775,-4.889293653
1.4,12.07732574,-16.93567726,-4.858351514
1.45,11.66086623,-16.48477562,-4.823909383
1.5,11.27217067,-16.05960968,-4.787439012
1.55,10.90855227,-15.65853812,-4.74998585
1.6,10.56766001,-15.28035165,-4.712691641
1.65,10.24742789,-14.92372582,-4.676297932
1.7,9.946032957,-14.58766323,-4.641630268
1.75,9.661860587,-14.27109929,-4.609238708
1.8,9.393475577,-13.97286909,-4.579393509
1.85,9.139597843,-13.69364052,-4.554042678
1.9,8.899082111,-13.43070304,-4.53162093
1.95,8.670900528,-13.18220224,-4.51130171
2,8.454128015,-13.01973971,-4.56561169
