Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0.5,33.81651208,-33.55945683,0.25705525
0.55,30.74228368,-31.84303336,-1.100749679
0.6,28.18042675,-30.28859968,-2.108172931
0.65,26.01270158,-28.87502828,-2.862326693
0.7,24.15465147,-27.58446589,-3.429814426
0.75,22.5443414,-26.40178921,-3.857447809
0.8,21.13532006,-25.3141729,-4.178852841
0.85,19.89206587,-24.31071646,-4.418650593
0.9,18.78695112,-23.38212136,-4.595170233
0.95,17.79816422,-22.52040652,-4.722242302
1,16.90825603,-21.71871392,-4.810457889
1.05,16.10310098,-20.97106483,-4.867963847
1.1,15.37114184,-20.27226881,-4.901126972
1.15,14.70283135,-19.61779259,-4.914961239
1.2,14.09021335,-19.00365329,-4.913439944
1.25,13.52660481,-18.42632058,-4.899715769
1.3,13.00635079,-17.88274254,-4.876391746
1.35,12.5246341,-17.37013179,-4.845497693
1.4,12.07732574,-16.88607335,-4.808747607
1.45,11.66086623,-16.42997118,-4.769104941
1.5,11.27217067,-16.00476646,-4.732595792
1.55,10.90855227,-15.60993295,-4.701380683
1.6,10.56766001,-15.26015657,-4.692496562
1.65,10.24742789,-14.93715391,-4.689726019
1.7,9.946032957,-14.59369074,-4.647657783
1.75,9.661860587,-14.35245284,-4.690592255
1.8,9.393475577,-14.08569831,-4.692222736
1.85,9.139597843,-13.83366913,-4.694071283
1.9,8.899082111,-13.59502468,-4.695942573
1.95,8.670900528,-13.36863398,-4.697733449
2,8.454128015,-13.15351607,-4.699388053
