Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0.5,33.81651208,-33.55945585,0.257056228
0.55,30.74228368,-31.8430333,-1.100749619
0.6,28.18042675,-30.28859821,-2.108171463
0.65,26.01270158,-28.87502576,-2.862324176
0.7,24.15465147,-27.58446368,-3.429812211
0.75,22.5443414,-26.40178281,-3.857441412
0.8,21.13532006,-25.31416619,-4.178846128
0.85,19.89206587,-24.31070856,-4.418642688
0.9,18.78695112,-23.38211079,-4.595159668
0.95,17.79816422,-22.52040001,-4.722235789
1,16.90825603,-21.71870036,-4.810444329
1.05,16.10310098,-20.97104777,-4.867946793
1.1,15.37114184,-20.27224389,-4.901102047
1.15,14.70283135,-19.61776492,-4.914933567
1.2,14.09021335,-19.00361556,-4.913402216
1.25,13.52660481,-18.4262801,-4.899675285
1.3,13.00635079,-17.8826795,-4.876328708
1.35,12.5246341,-17.37006187,-4.845427775
1.4,12.07732574,-16.88598726,-4.808661515
1.45,11.66086623,-16.42904304,-4.768176807
1.5,11.27217067,-16.00245238,-4.730281705
1.55,10.90855227,-15.60398738,-4.695435107
1.6,10.56766001,-15.2304482,-4.662788184
1.65,10.24742789,-14.87955813,-4.632130237
1.7,9.946032957,-14.54925023,-4.603217269
1.75,9.661860587,-14.2374979,-4.57563731
1.8,9.393475577,-13.94512336,-4.551647782
1.85,9.139597843,-13.66961398,-4.530016137
1.9,8.899082111,-13.40967751,-4.510595401
1.95,8.670900528,-13.16313861,-4.492238085
2,8.454128015,-12.929242,-4.475113984
