Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
0.5,22.79468245,-23.79222624,-0.997543792
0.6,18.99556871,-21.53603049,-2.540461784
0.7,16.28191604,-19.62757899,-3.345662957
0.8,14.24667653,-18.00655768,-3.759881152
0.9,12.66371247,-16.62772855,-3.96401608
1,11.39734123,-15.43993681,-4.042595583
1.1,10.3612193,-14.3924951,-4.031275803
1.2,9.497784355,-13.52113328,-4.023348925
1.3,8.767185558,-12.72086606,-3.953680497
1.4,8.140958018,-12.02339073,-3.882432708
1.5,7.598227484,-11.48890483,-3.890677344
1.6,7.123338266,-10.86404763,-3.74070936
1.7,6.704318368,-10.43129008,-3.726971707
1.8,6.331856236,-10.0221911,-3.690334862
1.9,5.998600645,-9.681852208,-3.683251563
2,5.698670613,-9.413593107,-3.714922494
2.25,5.065484989,-8.806121281,-3.740636292
2.5,4.55893649,-8.315559255,-3.756622765
3,3.799113742,-7.565636644,-3.766522902
4,2.849335306,-6.61106962,-3.761734314
