Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0.5,22.79468245,-23.79445796,-0.999775511
0.6,18.99556871,-21.54100591,-2.545437197
0.7,16.28191604,-19.63240098,-3.350484943
0.8,14.24667653,-18.0211299,-3.774453369
0.9,12.66371247,-16.634442,-3.970729526
1,11.39734123,-15.45257024,-4.055229011
1.1,10.3612193,-14.41614143,-4.054922139
1.2,9.497784355,-13.53056124,-4.032776886
1.3,8.767185558,-12.75984192,-3.992656367
1.4,8.140958018,-12.07382614,-3.932868126
1.5,7.598227484,-11.49895676,-3.900729277
1.6,7.123338266,-10.91650261,-3.793164343
1.7,6.704318368,-10.4880748,-3.783756433
1.8,6.331856236,-10.06339544,-3.731539203
1.9,5.998600645,-9.724768847,-3.726168202
2,5.698670613,-9.42899558,-3.730324967
2.25,5.065484989,-8.806437928,-3.740952938
2.5,4.55893649,-8.31554999,-3.7566135
3,3.799113742,-7.56561674,-3.766502998
4,2.849335306,-6.488942693,-3.639607387
