Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
0.5,22.79468245,-23.77910908,-0.984426634
0.6,18.99556871,-21.52681425,-2.531245542
0.7,16.28191604,-19.61590898,-3.333992946
0.8,14.24667653,-17.99350439,-3.74682786
0.9,12.66371247,-16.60609724,-3.942384765
1,11.39734123,-15.40716587,-4.00982464
1.1,10.3612193,-14.38617735,-4.02495805
1.2,9.497784355,-13.46099292,-3.963208562
1.3,8.767185558,-12.69073415,-3.923548589
1.4,8.140958018,-11.99487888,-3.853920858
1.5,7.598227484,-11.35316537,-3.754937884
1.6,7.123338266,-10.79171277,-3.668374501
1.7,6.704318368,-10.32186635,-3.617547978
1.8,6.331856236,-9.878260304,-3.546404068
1.9,5.998600645,-9.457800191,-3.459199546
2,5.698670613,-9.073667857,-3.374997245
2.25,5.065484989,-8.299348863,-3.233863874
2.5,4.55893649,-7.74345735,-3.18452086
3,3.799113742,-6.840258375,-3.041144634
4,2.849335306,-5.851632381,-3.002297074
