Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
0.5,22.79468245,-23.77913803,-0.984455576
0.6,18.99556871,-21.52684282,-2.531274113
0.7,16.28191604,-19.61595603,-3.334039997
0.8,14.24667653,-17.99367375,-3.746997217
0.9,12.66371247,-16.60629781,-3.942585335
1,11.39734123,-15.40727698,-4.009935758
1.1,10.3612193,-14.38740744,-4.026188144
1.2,9.497784355,-13.46124652,-3.963462167
1.3,8.767185558,-12.70044014,-3.933254584
1.4,8.140958018,-12.03706948,-3.896111459
1.5,7.598227484,-11.46450109,-3.866273604
1.6,7.123338266,-10.96824976,-3.844911498
1.7,6.704318368,-10.532292,-3.827973635
1.8,6.331856236,-10.14535834,-3.8135021
1.9,5.998600645,-9.800480971,-3.801880326
2,5.698670613,-9.491534332,-3.792863719
2.25,5.065484989,-8.844385345,-3.778900356
2.5,4.55893649,-8.331534966,-3.772598475
3,3.799113742,-7.568058771,-3.768945029
4,2.849335306,-6.61765965,-3.768324343
