Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0.5,22.79468245,-23.7791372,-0.984454747
0.6,18.99556871,-21.5268437,-2.531274992
0.7,16.28191604,-19.61595191,-3.334035871
0.8,14.24667653,-17.99368681,-3.747010276
0.9,12.66371247,-16.60628263,-3.942570157
1,11.39734123,-15.4072838,-4.009942575
1.1,10.3612193,-14.38742212,-4.026202825
1.2,9.497784355,-13.46110993,-3.963325578
1.3,8.767185558,-12.69622673,-3.929041167
1.4,8.140958018,-12.01781912,-3.876861098
1.5,7.598227484,-11.45309579,-3.854868309
1.6,7.123338266,-10.89195704,-3.768618775
1.7,6.704318368,-10.4693984,-3.765080031
1.8,6.331856236,-10.05343875,-3.721582511
1.9,5.998600645,-9.716728151,-3.718127506
2,5.698670613,-9.425187666,-3.726517053
2.25,5.065484989,-8.744687544,-3.679202555
2.5,4.55893649,-8.224658997,-3.665722506
3,3.799113742,-7.505847535,-3.706733793
4,2.849335306,-6.458423001,-3.609087694
