Distance (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0.5,22.79468245,-23.80932827,-1.014645818
0.6,18.99556871,-21.56279278,-2.567224069
0.7,16.28191604,-19.65733356,-3.375417525
0.8,14.24667653,-18.03959984,-3.792923307
0.9,12.66371247,-16.66039007,-3.996677598
1,11.39734123,-15.47787474,-4.080533517
1.1,10.3612193,-14.4579458,-4.096726507
1.2,9.497784355,-13.57350668,-4.075722327
1.3,8.767185558,-12.80339438,-4.036208823
1.4,8.140958018,-12.13118948,-3.990231465
1.5,7.598227484,-11.54386401,-3.94563653
1.6,7.123338266,-11.03021971,-3.906881441
1.7,6.704318368,-10.57966636,-3.875347989
1.8,6.331856236,-10.18219959,-3.85034335
1.9,5.998600645,-9.829167053,-3.830566408
2,5.698670613,-9.513615072,-3.81494446
2.25,5.065484989,-8.855007083,-3.789522093
2.5,4.55893649,-8.336135703,-3.777199212
3,3.799113742,-7.568775579,-3.769661837
4,2.849335306,-6.617671455,-3.768336148
