Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0.5,22.79468245,-23.79912441,-1.004441955
0.6,18.99556871,-21.54876842,-2.553199706
0.7,16.28191604,-19.63877184,-3.356855807
0.8,14.24667653,-18.01580815,-3.769131623
0.9,12.66371247,-16.62963346,-3.96592099
1,11.39734123,-15.45060602,-4.053264794
1.1,10.3612193,-14.42381995,-4.062600651
1.2,9.497784355,-13.54012769,-4.042343332
1.3,8.767185558,-12.76689971,-3.999714151
1.4,8.140958018,-12.09551404,-3.954556024
1.5,7.598227484,-11.51152381,-3.913296325
1.6,7.123338266,-11.0046862,-3.881347937
1.7,6.704318368,-10.56054405,-3.856225687
1.8,6.331856236,-10.16742739,-3.835571149
1.9,5.998600645,-9.817522893,-3.818922248
2,5.698670613,-9.504466425,-3.805795812
2.25,5.065484989,-8.850394508,-3.784909519
2.5,4.55893649,-8.334084632,-3.775148142
3,3.799113742,-7.568450559,-3.769336817
4,2.849335306,-6.617666519,-3.768331213
