Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
0.5,13.45641601,-17.13878322,-3.682367215
0.6,12.64721349,-16.43954356,-3.792330071
0.7,12.01943591,-15.82233745,-3.802901544
0.8,11.50619472,-15.38756666,-3.881371939
0.9,11.0714545,-15.03594181,-3.964487312
1,10.69417965,-14.69797092,-4.003791275
1.1,10.3612193,-14.36555086,-4.004331561
1.2,10.06383266,-14.06237658,-3.998543916
1.3,9.795881993,-13.7654206,-3.969538607
1.4,9.552844548,-13.49013035,-3.937285799
1.5,9.331248612,-13.25511161,-3.923862996
1.6,9.12833857,-13.03883825,-3.910499675
1.7,8.941868184,-12.84135892,-3.899490734
1.8,8.769967997,-12.66587823,-3.895910233
1.9,8.611056945,-12.50230681,-3.891249863
2,8.463781185,-12.33887597,-3.875094788
2.25,8.139179221,-12.00146982,-3.862290601
2.5,7.865751992,-11.7203514,-3.854599403
3,7.43234404,-11.28208805,-3.849744008
4,6.852216935,-10.74535758,-3.893140644
