Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-v Electronic Energy (Hartree),AP1roGSDSpin_sen-v Total Energy (Hartree)
0.5,13.45641601,-17.13878729,-3.682371281
0.6,12.64721349,-16.43954536,-3.792331876
0.7,12.01943591,-15.82167575,-3.802239845
0.8,11.50619472,-15.38653119,-3.880336467
0.9,11.0714545,-15.03595702,-3.96450252
1,10.69417965,-14.69798074,-4.003801098
1.1,10.3612193,-14.36555234,-4.004333043
1.2,10.06383266,-14.06236981,-3.998537148
1.3,9.795881993,-13.76541708,-3.969535086
1.4,9.552844548,-13.49078487,-3.937940326
1.5,9.331248612,-13.2535337,-3.92228509
1.6,9.12833857,-13.03859545,-3.910256876
1.7,8.941868184,-12.83957094,-3.897702752
1.8,8.769967997,-12.66593228,-3.895964283
1.9,8.611056945,-12.50205751,-3.891000568
2,8.463781185,-12.32883592,-3.865054733
2.25,8.139179221,-11.98194232,-3.842763098
2.5,7.865751992,-11.70615627,-3.84040428
3,7.43234404,-11.26901905,-3.836675005
4,6.852216935,-10.74502894,-3.892812001
