Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0.5,13.45641601,-17.15769268,-3.701276672
0.6,12.64721349,-16.4651353,-3.817921816
0.7,12.01943591,-15.85268824,-3.833252339
0.8,11.50619472,-15.44255276,-3.936358041
0.9,11.0714545,-15.09705011,-4.025595609
1,10.69417965,-14.75157046,-4.057390813
1.1,10.3612193,-14.41613324,-4.05491394
1.2,10.06383266,-14.11946916,-4.055636496
1.3,9.795881993,-13.80959956,-4.013717564
1.4,9.552844548,-13.56707571,-4.014231161
1.5,9.331248612,-13.29207939,-3.960830782
1.6,9.12833857,-13.09725072,-3.968912152
1.7,8.941868184,-12.89035519,-3.948487006
1.8,8.769967997,-12.70878698,-3.938818982
1.9,8.611056945,-12.54196866,-3.930911719
2,8.463781185,-12.36198682,-3.898205636
2.25,8.139179221,-12.04480699,-3.905627765
2.5,7.865751992,-11.72532214,-3.859570149
3,7.43234404,-11.30620839,-3.873864354
4,6.852216935,-10.77452257,-3.922305632
