Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
0.5,13.45641601,-17.14250982,-3.686093811
0.6,12.64721349,-16.44203852,-3.794825029
0.7,12.01943591,-15.78436244,-3.764926537
0.8,11.50619472,-15.38708105,-3.880886331
0.9,11.0714545,-15.04198274,-3.970528237
1,10.69417965,-14.69880678,-4.004627134
1.1,10.3612193,-14.38622667,-4.025007369
1.2,10.06383266,-14.06263656,-3.998803897
1.3,9.795881993,-13.76587601,-3.969994013
1.4,9.552844548,-13.49916381,-3.946319262
1.5,9.331248612,-13.24661153,-3.915362922
1.6,9.12833857,-13.01910758,-3.890769011
1.7,8.941868184,-12.80719316,-3.865324973
1.8,8.769967997,-12.56817894,-3.798210942
1.9,8.611056945,-12.39777662,-3.786719676
2,8.463781185,-12.22437378,-3.760592597
2.25,8.139179221,-11.87572399,-3.736544764
2.5,7.865751992,-11.60940924,-3.743657243
3,7.43234404,-11.20079129,-3.768447249
4,6.852216935,-10.62152539,-3.769308451
