Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
0.5,13.45641601,-17.1425267,-3.686110694
0.6,12.64721349,-16.44205091,-3.794837424
0.7,12.01943591,-15.82557084,-3.806134937
0.8,11.50619472,-15.38822565,-3.882030929
0.9,11.0714545,-15.04198719,-3.970532693
1,10.69417965,-14.69884052,-4.004660878
1.1,10.3612193,-14.38739034,-4.026171044
1.2,10.06383266,-14.06264408,-3.998811415
1.3,9.795881993,-13.76590219,-3.970020201
1.4,9.552844548,-13.49953848,-3.946693935
1.5,9.331248612,-13.25514222,-3.923893608
1.6,9.12833857,-13.03928645,-3.910947875
1.7,8.941868184,-12.8441973,-3.902329115
1.8,8.769967997,-12.66648073,-3.896512736
1.9,8.611056945,-12.50583759,-3.894780646
2,8.463781185,-12.35762787,-3.89384668
2.25,8.139179221,-11.94344494,-3.804265716
2.5,7.865751992,-11.66922444,-3.803472448
3,7.43234404,-11.32604806,-3.893704019
4,6.852216935,-10.74594601,-3.893729077
