Distance (Bohr),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0.5,13.45641601,-17.13877145,-3.682355445
0.6,12.64721349,-16.43953888,-3.792325388
0.7,12.01943591,-15.78331296,-3.763877056
0.8,11.50619472,-15.38597563,-3.879780908
0.9,11.0714545,-15.03592156,-3.964467059
1,10.69417965,-14.69796066,-4.003781013
1.1,10.3612193,-14.36522116,-4.00400186
1.2,10.06383266,-14.06238664,-3.998553978
1.3,9.795881993,-13.76540288,-3.969520887
1.4,9.552844548,-13.4887009,-3.935856352
1.5,9.331248612,-13.24561309,-3.914364481
1.6,9.12833857,-13.01906432,-3.890725751
1.7,8.941868184,-12.80712584,-3.86525766
1.8,8.769967997,-12.56131676,-3.791348763
1.9,8.611056945,-12.37472636,-3.763669419
2,8.463781185,-12.22106455,-3.757283367
2.25,8.139179221,-11.85080276,-3.711623539
2.5,7.865751992,-11.60941449,-3.743662496
3,7.43234404,-11.19839399,-3.766049949
4,6.852216935,-10.58003872,-3.72782179
