Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
0.5,13.45641601,-17.15194749,-3.695531488
0.6,12.64721349,-16.45893681,-3.811723321
0.7,12.01943591,-15.85077723,-3.831341324
0.8,11.50619472,-15.45202397,-3.945829249
0.9,11.0714545,-15.08040889,-4.008954389
1,10.69417965,-14.75090067,-4.056721024
1.1,10.3612193,-14.39801984,-4.036800547
1.2,10.06383266,-14.11914417,-4.055311507
1.3,9.795881993,-13.82736961,-4.031487621
1.4,9.552844548,-13.53044856,-3.977604015
1.5,9.331248612,-13.32065117,-3.989402555
1.6,9.12833857,-13.09732803,-3.968989462
1.7,8.941868184,-12.8919737,-3.950105515
1.8,8.769967997,-12.70797715,-3.938009154
1.9,8.611056945,-12.53897131,-3.927914367
2,8.463781185,-12.36789825,-3.904117067
2.25,8.139179221,-12.0239164,-3.884737181
2.5,7.865751992,-11.73785717,-3.872105177
3,7.43234404,-11.29735776,-3.865013716
4,6.852216935,-10.77530734,-3.92309041
