Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0.5,13.45641601,-17.15195503,-3.695539021
0.6,12.64721349,-16.46246835,-3.815254858
0.7,12.01943591,-15.85076382,-3.831327919
0.8,11.50619472,-15.45202531,-3.945830596
0.9,11.0714545,-15.08039177,-4.008937276
1,10.69417965,-14.7508878,-4.056708153
1.1,10.3612193,-14.39797698,-4.036757688
1.2,10.06383266,-14.11915075,-4.05531809
1.3,9.795881993,-13.82742746,-4.031545471
1.4,9.552844548,-13.53048929,-3.977644742
1.5,9.331248612,-13.32065122,-3.989402604
1.6,9.12833857,-13.0973442,-3.969005628
1.7,8.941868184,-12.85706673,-3.915198551
1.8,8.769967997,-12.70798608,-3.938018086
1.9,8.611056945,-12.53879427,-3.927737329
2,8.463781185,-12.36796323,-3.904182049
2.25,8.139179221,-12.02386887,-3.884689653
2.5,7.865751992,-11.73241436,-3.866662368
3,7.43234404,-11.29731489,-3.864970847
4,6.852216935,-10.7753601,-3.923143162
