Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
0.5,13.45641601,-17.15364808,-3.697232069
0.6,12.64721349,-16.46202315,-3.814809659
0.7,12.01943591,-15.84917506,-3.829739156
0.8,11.50619472,-15.44246569,-3.93627097
0.9,11.0714545,-15.09034349,-4.01888899
1,10.69417965,-14.74939402,-4.055214372
1.1,10.3612193,-14.3924726,-4.031253306
1.2,10.06383266,-14.11921266,-4.055379998
1.3,9.795881993,-13.8215557,-4.025673703
1.4,9.552844548,-13.55826407,-4.005419525
1.5,9.331248612,-13.31752865,-3.986280037
1.6,9.12833857,-13.05831445,-3.929975884
1.7,8.941868184,-12.88921996,-3.947351773
1.8,8.769967997,-12.70799419,-3.938026197
1.9,8.611056945,-12.5384876,-3.927430656
2,8.463781185,-12.35252259,-3.888741407
2.25,8.139179221,-11.99383013,-3.854650912
2.5,7.865751992,-11.71773858,-3.851986593
3,7.43234404,-11.29332284,-3.860978799
4,6.852216935,-10.77449553,-3.922278594
