Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-o Electronic Energy (Hartree),AP1roGSDSpin_sen-o Total Energy (Hartree)
0.5,13.45641601,-17.13878664,-3.682370629
0.6,12.64721349,-16.43954849,-3.792335002
0.7,12.01943591,-15.82235318,-3.802917272
0.8,11.50619472,-15.38757234,-3.881377616
0.9,11.0714545,-15.03594372,-3.964489225
1,10.69417965,-14.6979726,-4.003792958
1.1,10.3612193,-14.36554514,-4.00432584
1.2,10.06383266,-14.06238726,-3.998554602
1.3,9.795881993,-13.76538884,-3.969506848
1.4,9.552844548,-13.49011004,-3.937265493
1.5,9.331248612,-13.25509918,-3.923850571
1.6,9.12833857,-13.03883556,-3.910496991
1.7,8.941868184,-12.8413665,-3.899498316
1.8,8.769967997,-12.66587326,-3.895905261
1.9,8.611056945,-12.50227223,-3.891215285
2,8.463781185,-12.33892654,-3.875145359
2.25,8.139179221,-12.00148171,-3.862302487
2.5,7.865751992,-11.66723414,-3.801482146
3,7.43234404,-11.23536368,-3.803019644
4,6.852216935,-10.74537185,-3.893154911
