Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0.5,13.45641601,-17.13877897,-3.682362967
0.6,12.64721349,-16.43954772,-3.792334228
0.7,12.01943591,-15.8216731,-3.802237196
0.8,11.50619472,-15.38652225,-3.880327527
0.9,11.0714545,-15.03592939,-3.96447489
1,10.69417965,-14.69797862,-4.003798969
1.1,10.3612193,-14.36553909,-4.004319792
1.2,10.06383266,-14.06238558,-3.998552922
1.3,9.795881993,-13.7654396,-3.969557609
1.4,9.552844548,-13.49077107,-3.937926527
1.5,9.331248612,-13.25352072,-3.92227211
1.6,9.12833857,-13.03863597,-3.910297396
1.7,8.941868184,-12.83951865,-3.897650463
1.8,8.769967997,-12.66592465,-3.895956658
1.9,8.611056945,-12.5020429,-3.890985958
2,8.463781185,-12.32908883,-3.865307645
2.25,8.139179221,-11.98184539,-3.842666168
2.5,7.865751992,-11.66361926,-3.797867265
3,7.43234404,-11.26900237,-3.836658327
4,6.852216935,-10.74508274,-3.892865808
