Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD_free Total Energy (Hartree)
0.5,13.45641601,-17.14251256,-3.686096551
0.6,12.64721349,-16.44204173,-3.794828245
0.7,12.01943591,-15.78440624,-3.764970334
0.8,11.50619472,-15.38708436,-3.880889645
0.9,11.0714545,-15.04199136,-3.970536862
1,10.69417965,-14.69883745,-4.004657807
1.1,10.3612193,-14.38617867,-4.024959377
1.2,10.06383266,-14.06265062,-3.998817956
1.3,9.795881993,-13.76588995,-3.970007955
1.4,9.552844548,-13.49917774,-3.946333187
1.5,9.331248612,-13.24662985,-3.915381241
1.6,9.12833857,-13.01912313,-3.890784556
1.7,8.941868184,-12.80720984,-3.86534166
1.8,8.769967997,-12.56817677,-3.798208771
1.9,8.611056945,-12.39783271,-3.786775767
2,8.463781185,-12.22430254,-3.760521353
2.25,8.139179221,-11.87563776,-3.736458543
2.5,7.865751992,-11.60938268,-3.74363069
3,7.43234404,-11.2008404,-3.768496362
4,6.852216935,-10.62140849,-3.769191555
