Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0.5,13.45641601,-17.15663445,-3.700218443
0.6,12.64721349,-16.46570393,-3.818490439
0.7,12.01943591,-15.85523119,-3.835795287
0.8,11.50619472,-15.45202704,-3.945832322
0.9,11.0714545,-15.09496124,-4.023506745
1,10.69417965,-14.75354261,-4.059362967
1.1,10.3612193,-14.42381931,-4.062600015
1.2,10.06383266,-14.11940546,-4.0555728
1.3,9.795881993,-13.83204061,-4.036158616
1.4,9.552844548,-13.56545945,-4.012614898
1.5,9.331248612,-13.32074867,-3.989500062
1.6,9.12833857,-13.09780223,-3.969463658
1.7,8.941868184,-12.89487154,-3.953003359
1.8,8.769967997,-12.70888857,-3.938920571
1.9,8.611056945,-12.54400101,-3.932944068
2,8.463781185,-12.39276904,-3.928987852
2.25,8.139179221,-12.06409702,-3.924917804
2.5,7.865751992,-11.78961853,-3.923866537
3,7.43234404,-11.35598642,-3.923642379
4,6.852216935,-10.77583772,-3.923620782
