Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0.5,13.45641601,-17.15675626,-3.700340249
0.6,12.64721349,-16.46570546,-3.818491975
0.7,12.01943591,-15.85523116,-3.835795252
0.8,11.50619472,-15.45202629,-3.945831568
0.9,11.0714545,-15.09495982,-4.023505318
1,10.69417965,-14.75354164,-4.059361991
1.1,10.3612193,-14.42381906,-4.062599761
1.2,10.06383266,-14.11940556,-4.055572901
1.3,9.795881993,-13.83203806,-4.036156065
1.4,9.552844548,-13.56545959,-4.012615042
1.5,9.331248612,-13.32074808,-3.989499468
1.6,9.12833857,-13.09780308,-3.96946451
1.7,8.941868184,-12.89487679,-3.953008609
1.8,8.769967997,-12.70888738,-3.938919387
1.9,8.611056945,-12.54399994,-3.932942999
2,8.463781185,-12.39276939,-3.928988209
2.25,8.139179221,-12.06409696,-3.924917734
2.5,7.865751992,-11.78961864,-3.923866649
3,7.43234404,-11.35598535,-3.923641309
4,6.852216935,-10.77583886,-3.923621926
