Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0.5,13.45641601,-17.1590455,-3.702629498
0.6,12.64721349,-16.46513606,-3.817922575
0.7,12.01943591,-15.85267444,-3.833238535
0.8,11.50619472,-15.44254893,-3.936354211
0.9,11.0714545,-15.09042174,-4.018967243
1,10.69417965,-14.75156507,-4.05738542
1.1,10.3612193,-14.416137,-4.054917704
1.2,10.06383266,-14.11946851,-4.055635852
1.3,9.795881993,-13.82431904,-4.02843705
1.4,9.552844548,-13.56706215,-4.014217606
1.5,9.331248612,-13.3175267,-3.986278087
1.6,9.12833857,-13.09720738,-3.968868808
1.7,8.941868184,-12.89043755,-3.948569363
1.8,8.769967997,-12.7087935,-3.938825502
1.9,8.611056945,-12.54195137,-3.930894429
2,8.463781185,-12.36182582,-3.898044637
2.25,8.139179221,-12.04485788,-3.905678657
2.5,7.865751992,-11.72931324,-3.863561243
3,7.43234404,-11.30599637,-3.873652325
4,6.852216935,-10.77450457,-3.922287638
