Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0.5,13.45641601,-17.14252668,-3.68611067
0.6,12.64721349,-16.44204633,-3.794832841
0.7,12.01943591,-15.82425077,-3.80481486
0.8,11.50619472,-15.38739857,-3.881203847
0.9,11.0714545,-15.04199882,-3.97054432
1,10.69417965,-14.69881672,-4.004637077
1.1,10.3612193,-14.3874057,-4.026186402
1.2,10.06383266,-14.06264288,-3.998810221
1.3,9.795881993,-13.76585335,-3.969971353
1.4,9.552844548,-13.49995745,-3.947112897
1.5,9.331248612,-13.25367556,-3.922426951
1.6,9.12833857,-13.03884883,-3.910510263
1.7,8.941868184,-12.84046958,-3.898601393
1.8,8.769967997,-12.66637627,-3.896408273
1.9,8.611056945,-12.50405368,-3.89299673
2,8.463781185,-12.33557791,-3.871796721
2.25,8.139179221,-11.99464015,-3.855460932
2.5,7.865751992,-11.6663778,-3.800625807
3,7.43234404,-11.2353468,-3.803002762
4,6.852216935,-10.74510552,-3.89288859
