Distance (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0.5,13.45641601,-17.12291205,-3.666496043
0.6,12.64721349,-16.4198504,-3.772636908
0.7,12.01943591,-15.68284025,-3.66340434
0.8,11.50619472,-15.32774103,-3.821546309
0.9,11.0714545,-14.97513368,-3.903679177
1,10.69417965,-14.63087751,-3.936697861
1.1,10.3612193,-14.29894355,-3.937724259
1.2,10.06383266,-13.98196143,-3.918128769
1.3,9.795881993,-13.68159273,-3.885710734
1.4,9.552844548,-13.39877366,-3.845929116
1.5,9.331248612,-13.13387371,-3.8026251
1.6,9.12833857,-12.88681152,-3.758472952
1.7,8.941868184,-12.65715249,-3.71528431
1.8,8.769967997,-12.44419789,-3.674229897
1.9,8.611056945,-12.24706627,-3.636009329
2,8.463781185,-12.064764,-3.600982814
2.25,8.139179221,-11.66698067,-3.527801447
2.5,7.865751992,-11.33913421,-3.473382216
3,7.43234404,-10.83776273,-3.405418693
4,6.852216935,-10.19959106,-3.347374123
