Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
0.5,14.54481362,-17.36820647,-2.82339285
0.6,12.12067802,-15.77851414,-3.657836116
0.7,10.38915259,-14.45427095,-4.065118364
0.8,9.090508514,-13.3375079,-4.246999387
0.9,8.080452001,-12.38479436,-4.304342361
1,7.272406807,-11.56426683,-4.291860021
1.1,6.611278908,-10.85263611,-4.241357201
1.2,6.060339026,-10.23287037,-4.172531342
1.3,5.594159093,-9.692545003,-4.09838591
1.4,5.194576302,-9.223315506,-4.028739204
1.5,4.848271213,-8.81615479,-3.967883577
1.6,4.545254257,-8.462834474,-3.917580217
1.7,4.277886356,-8.155627659,-3.877741303
1.8,4.040226005,-7.887579872,-3.847353866
1.9,3.827582529,-7.652255299,-3.82467277
2,3.636203411,-7.444334789,-3.808131378
2.25,3.232180802,-7.016662771,-3.784481969
2.5,2.908962723,-6.683543673,-3.77458095
3,2.424135605,-6.19050008,-3.766364475
4,1.818101703,-5.585191485,-3.767089782
