Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0.5,14.54481362,-17.36820348,-2.823389857
0.6,12.12067802,-15.77850383,-3.657825809
0.7,10.38915259,-14.45425401,-4.065101421
0.8,9.090508514,-13.33749948,-4.246990964
0.9,8.080452001,-12.38480609,-4.304354091
1,7.272406807,-11.56427155,-4.291864739
1.1,6.611278908,-10.85265088,-4.241371976
1.2,6.060339026,-10.2328787,-4.172539675
1.3,5.594159093,-9.692547315,-4.098388222
1.4,5.194576302,-9.223324997,-4.028748696
1.5,4.848271213,-8.81619416,-3.967922948
1.6,4.545254257,-8.462809687,-3.91755543
1.7,4.277886356,-8.155618145,-3.877731789
1.8,4.040226005,-7.887522445,-3.847296439
1.9,3.827582529,-7.652287258,-3.824704729
2,3.636203411,-7.444334896,-3.808131484
2.25,3.232180802,-7.016654134,-3.784473332
2.5,2.908962723,-6.665793377,-3.756830654
3,2.424135605,-6.193242814,-3.769107209
4,1.818101703,-5.586372305,-3.768270602
