Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
0.5,14.54481362,-17.36803444,-2.823220815
0.6,12.12067802,-15.7785325,-3.657854476
0.7,10.38915259,-14.45442191,-4.065269323
0.8,9.090508514,-13.33775532,-4.247246811
0.9,8.080452001,-12.38508878,-4.304636779
1,7.272406807,-11.56455933,-4.29215252
1.1,6.611278908,-10.85285952,-4.241580614
1.2,6.060339026,-10.23298172,-4.172642697
1.3,5.594159093,-9.692465373,-4.09830628
1.4,5.194576302,-9.222833549,-4.028257248
1.5,4.848271213,-8.815415375,-3.967144162
1.6,4.545254257,-8.461976403,-3.916722146
1.7,4.277886356,-8.154789721,-3.876903366
1.8,4.040226005,-7.886738781,-3.846512776
1.9,3.827582529,-7.651529644,-3.823947115
2,3.636203411,-7.44369525,-3.807491839
2.25,3.232180802,-7.016221188,-3.784040386
2.5,2.908962723,-6.665794998,-3.756832276
3,2.424135605,-6.193148676,-3.769013071
4,1.818101703,-5.584810181,-3.766708478
