Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-o Electronic Energy (Hartree),AP1roGSDSpin_sen-o Total Energy (Hartree)
0.5,14.54481362,-17.35468649,-2.809872871
0.6,12.12067802,-15.76013813,-3.63946011
0.7,10.38915259,-14.42984227,-4.040689681
0.8,9.090508514,-13.30551028,-4.215001769
0.9,8.080452001,-12.34307493,-4.262622927
1,7.272406807,-11.50995567,-4.237548859
1.1,6.611278908,-10.78713635,-4.175857446
1.2,6.060339026,-10.16591125,-4.105572227
1.3,5.594159093,-9.629841358,-4.035682265
1.4,5.194576302,-9.167107961,-3.972531659
1.5,4.848271213,-8.76786546,-3.919594247
1.6,4.545254257,-8.423059424,-3.877805167
1.7,4.277886356,-8.124132543,-3.846246188
1.8,4.040226005,-7.863336049,-3.823110044
1.9,3.827582529,-7.63409724,-3.806514711
2,3.636203411,-7.430962759,-3.794759348
2.25,3.232180802,-7.01075593,-3.778575128
2.5,2.908962723,-6.681098637,-3.772135915
3,2.424135605,-6.176982043,-3.752846438
4,1.818101703,-5.585239341,-3.767137639
