Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
0.5,14.54481362,-17.35510226,-2.810288643
0.6,12.12067802,-15.76059497,-3.639916949
0.7,10.38915259,-14.43040197,-4.041249379
0.8,9.090508514,-13.30626225,-4.215753734
0.9,8.080452001,-12.3439944,-4.263542403
1,7.272406807,-11.51108553,-4.238678718
1.1,6.611278908,-10.78317612,-4.171897209
1.2,6.060339026,-10.141813,-4.08147397
1.3,5.594159093,-9.572841576,-3.978682483
1.4,5.194576302,-9.065128047,-3.870551746
1.5,4.848271213,-8.610278606,-3.762007393
1.6,4.545254257,-8.201272436,-3.656018179
1.7,4.277886356,-7.832680191,-3.554793835
1.8,4.040226005,-7.499917513,-3.459691508
1.9,3.827582529,-7.19903593,-3.371453402
2,3.636203411,-6.926844915,-3.290641503
2.25,3.232180802,-6.353675415,-3.121494613
2.5,2.908962723,-5.904716174,-2.995753451
3,2.424135605,-5.411869177,-2.987733572
4,1.818101703,-4.775825178,-2.957723476
