Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0.5,14.54481362,-17.3553953,-2.810581679
0.6,12.12067802,-15.76104564,-3.640367613
0.7,10.38915259,-14.43099331,-4.041840719
0.8,9.090508514,-13.30692519,-4.216416678
0.9,8.080452001,-12.34484086,-4.264388855
1,7.272406807,-11.51211827,-4.239711467
1.1,6.611278908,-10.78952952,-4.178250609
1.2,6.060339026,-10.1680993,-4.107760273
1.3,5.594159093,-9.631687349,-4.037528256
1.4,5.194576302,-9.168523869,-3.973947568
1.5,4.848271213,-8.768973061,-3.920701849
1.6,4.545254257,-8.423828392,-3.878574135
1.7,4.277886356,-8.124668771,-3.846782415
1.8,4.040226005,-7.863671011,-3.823445005
1.9,3.827582529,-7.460938581,-3.633356052
2,3.636203411,-7.431084304,-3.794880893
2.25,3.232180802,-7.010798247,-3.778617445
2.5,2.908962723,-6.552380277,-3.643417555
3,2.424135605,-6.177141789,-3.753006184
4,1.818101703,-5.585217451,-3.767115748
