Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-ov Electronic Energy (Hartree),AP1roGSDGeneralized_sen-ov Total Energy (Hartree)
0.5,14.54481362,-17.36803469,-2.823221071
0.6,12.12067802,-15.77853211,-3.657854083
0.7,10.38915259,-14.45442338,-4.065270789
0.8,9.090508514,-13.33776318,-4.24725467
0.9,8.080452001,-12.38509618,-4.304644182
1,7.272406807,-11.56455319,-4.292146382
1.1,6.611278908,-10.85284944,-4.241570531
1.2,6.060339026,-10.23296467,-4.172625648
1.3,5.594159093,-9.692459828,-4.098300735
1.4,5.194576302,-9.222805713,-4.028229412
1.5,4.848271213,-8.815515688,-3.967244475
1.6,4.545254257,-8.461995251,-3.916740994
1.7,4.277886356,-8.154821826,-3.87693547
1.8,4.040226005,-7.886757957,-3.846531951
1.9,3.827582529,-7.651510201,-3.823927672
2,3.636203411,-7.443749823,-3.807546412
2.25,3.232180802,-7.016208782,-3.78402798
2.5,2.908962723,-6.683270776,-3.774308053
3,2.424135605,-6.190477507,-3.766341902
4,1.818101703,-5.586337504,-3.768235801
