Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0.5,14.54481362,-17.35470097,-2.809887353
0.6,12.12067802,-15.76012809,-3.639450071
0.7,10.38915259,-14.42985,-4.040697409
0.8,9.090508514,-13.30549478,-4.214986264
0.9,8.080452001,-12.34306657,-4.262614569
1,7.272406807,-11.50993247,-4.237525666
1.1,6.611278908,-10.7868149,-4.175535987
1.2,6.060339026,-10.16509145,-4.104752425
1.3,5.594159093,-9.628727658,-4.034568565
1.4,5.194576302,-9.165778127,-3.971201825
1.5,4.848271213,-8.766561466,-3.918290253
1.6,4.545254257,-8.42190456,-3.876650303
1.7,4.277886356,-8.123060462,-3.845174106
1.8,4.040226005,-7.862349479,-3.822123474
1.9,3.827582529,-7.633226761,-3.805644232
2,3.636203411,-7.430179917,-3.793976506
2.25,3.232180802,-6.929145198,-3.696964396
2.5,2.908962723,-6.482193974,-3.573231252
3,2.424135605,-6.192745061,-3.768609456
4,1.818101703,-5.584692541,-3.766590839
