Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-v Electronic Energy (Hartree),AP1roGSDSpin_sen-v Total Energy (Hartree)
0.5,14.54481362,-17.35469716,-2.809883541
0.6,12.12067802,-15.76014444,-3.639466414
0.7,10.38915259,-14.42984334,-4.040690754
0.8,9.090508514,-13.30549467,-4.214986159
0.9,8.080452001,-12.34306932,-4.262617317
1,7.272406807,-11.50992705,-4.237520245
1.1,6.611278908,-10.7868173,-4.175538387
1.2,6.060339026,-10.1650957,-4.104756677
1.3,5.594159093,-9.628696801,-4.034537708
1.4,5.194576302,-9.16581018,-3.971233879
1.5,4.848271213,-8.7665745,-3.918303287
1.6,4.545254257,-8.42187572,-3.876621463
1.7,4.277886356,-8.123056953,-3.845170597
1.8,4.040226005,-7.862382481,-3.822156476
1.9,3.827582529,-7.6332442,-3.805661671
2,3.636203411,-7.430222533,-3.794019121
2.25,3.232180802,-6.819649286,-3.587468484
2.5,2.908962723,-6.680769372,-3.771806649
3,2.424135605,-5.988286641,-3.564151036
4,1.818101703,-5.584750944,-3.766649242
