Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0.5,14.54481362,-17.35512768,-2.810314056
0.6,12.12067802,-15.76059307,-3.63991505
0.7,10.38915259,-14.43042404,-4.041271447
0.8,9.090508514,-13.30618724,-4.21567873
0.9,8.080452001,-12.34393557,-4.263483567
1,7.272406807,-11.51115454,-4.238747733
1.1,6.611278908,-10.78327683,-4.171997919
1.2,6.060339026,-10.14187362,-4.081534592
1.3,5.594159093,-9.572935109,-3.978776016
1.4,5.194576302,-9.065208572,-3.870632271
1.5,4.848271213,-8.610395662,-3.76212445
1.6,4.545254257,-8.201438126,-3.656183869
1.7,4.277886356,-7.832963498,-3.555077142
1.8,4.040226005,-7.500150918,-3.459924913
1.9,3.827582529,-7.199479849,-3.371897321
2,3.636203411,-6.927430018,-3.291226606
2.25,3.232180802,-6.355098128,-3.122917326
2.5,2.908962723,-5.90818264,-2.999219917
3,2.424135605,-5.413523663,-2.989388058
4,1.818101703,-4.776168699,-2.958066996
