Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0.5,14.54481362,-17.36891115,-2.824097533
0.6,12.12067802,-15.77940644,-3.65872842
0.7,10.38915259,-14.455356,-4.066203406
0.8,9.090508514,-13.33881991,-4.248311396
0.9,8.080452001,-12.38636446,-4.305912456
1,7.272406807,-11.56609833,-4.293691519
1.1,6.611278908,-10.85478076,-4.243501856
1.2,6.060339026,-10.23534468,-4.175005656
1.3,5.594159093,-9.695614486,-4.101455393
1.4,5.194576302,-9.227089388,-4.032513087
1.5,4.848271213,-8.820311305,-3.972040093
1.6,4.545254257,-8.466970961,-3.921716704
1.7,4.277886356,-8.159557112,-3.881670757
1.8,4.040226005,-7.891117948,-3.850891942
1.9,3.827582529,-7.655422042,-3.827839513
2,3.636203411,-7.447087049,-3.810883637
2.25,3.232180802,-7.018462393,-3.786281591
2.5,2.908962723,-6.684673441,-3.775710719
3,2.424135605,-6.193639813,-3.769504208
4,1.818101703,-5.586413701,-3.768311998
