Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0.5,14.54481362,-17.368913,-2.824099384
0.6,12.12067802,-15.77940789,-3.65872987
0.7,10.38915259,-14.45535654,-4.066203949
0.8,9.090508514,-13.33882276,-4.24831425
0.9,8.080452001,-12.38635473,-4.305902729
1,7.272406807,-11.56610147,-4.29369466
1.1,6.611278908,-10.85477882,-4.243499912
1.2,6.060339026,-10.23534086,-4.17500183
1.3,5.594159093,-9.695617742,-4.101458649
1.4,5.194576302,-9.227090481,-4.03251418
1.5,4.848271213,-8.820310707,-3.972039494
1.6,4.545254257,-8.466973464,-3.921719207
1.7,4.277886356,-8.159555601,-3.881669245
1.8,4.040226005,-7.891118817,-3.850892812
1.9,3.827582529,-7.65542194,-3.827839412
2,3.636203411,-7.447086944,-3.810883533
2.25,3.232180802,-7.018462394,-3.786281592
2.5,2.908962723,-6.684673441,-3.775710719
3,2.424135605,-6.193639814,-3.769504208
4,1.818101703,-5.5864415,-3.768339797
