Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0.5,14.54481362,-17.36672624,-2.821912621
0.6,12.12067802,-15.77937333,-3.658695309
0.7,10.38915259,-14.45543532,-4.066282734
0.8,9.090508514,-13.33896615,-4.248457632
0.9,8.080452001,-12.38651439,-4.306062388
1,7.272406807,-11.56617502,-4.293768212
1.1,6.611278908,-10.85463133,-4.243352421
1.2,6.060339026,-10.23483366,-4.174494629
1.3,5.594159093,-9.694318339,-4.100159246
1.4,5.194576302,-9.224805629,-4.030229328
1.5,4.848271213,-8.817406089,-3.969134876
1.6,4.545254257,-8.463725785,-3.918471528
1.7,4.277886356,-8.15625515,-3.878368794
1.8,4.040226005,-7.887949362,-3.847723356
1.9,3.827582529,-7.652541604,-3.824959075
2,3.636203411,-7.444528283,-3.808324871
2.25,3.232180802,-6.973278172,-3.74109737
2.5,2.908962723,-6.664302029,-3.755339306
3,2.424135605,-6.190412371,-3.766276766
4,1.818101703,-5.586171054,-3.768069351
