Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0.5,14.54481362,-17.36869743,-2.823883811
0.6,12.12067802,-15.77936976,-3.658691732
0.7,10.38915259,-14.45544091,-4.06628832
0.8,9.090508514,-13.3389792,-4.248470688
0.9,8.080452001,-12.38652604,-4.306074034
1,7.272406807,-11.56616384,-4.293757038
1.1,6.611278908,-10.85461773,-4.243338824
1.2,6.060339026,-10.23483045,-4.174491424
1.3,5.594159093,-9.694336134,-4.100177041
1.4,5.194576302,-9.224779388,-4.030203086
1.5,4.848271213,-8.8173878,-3.969116587
1.6,4.545254257,-8.463724588,-3.918470331
1.7,4.277886356,-8.156248516,-3.87836216
1.8,4.040226005,-7.887953858,-3.847727853
1.9,3.827582529,-7.65255482,-3.824972291
2,3.636203411,-7.444540655,-3.808337244
2.25,3.232180802,-7.016709369,-3.784528567
2.5,2.908962723,-6.664308447,-3.755345724
3,2.424135605,-6.189867365,-3.76573176
4,1.818101703,-5.586369055,-3.768267352
