Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0.5,14.54481362,-17.3553822,-2.810568579
0.6,12.12067802,-15.76104236,-3.640364332
0.7,10.38915259,-14.43098569,-4.041833101
0.8,9.090508514,-13.30692829,-4.216419774
0.9,8.080452001,-12.3448475,-4.264395498
1,7.272406807,-11.51211632,-4.239709508
1.1,6.611278908,-10.78951608,-4.178237169
1.2,6.060339026,-10.16808854,-4.107749511
1.3,5.594159093,-9.631724386,-4.037565293
1.4,5.194576302,-9.168550433,-3.973974131
1.5,4.848271213,-8.768939007,-3.920667795
1.6,4.545254257,-8.423841351,-3.878587094
1.7,4.277886356,-8.124686951,-3.846800595
1.8,4.040226005,-7.863702655,-3.823476649
1.9,3.827582529,-7.460934774,-3.633352245
2,3.636203411,-7.431093107,-3.794889695
2.25,3.232180802,-7.010779856,-3.778599054
2.5,2.908962723,-6.441818607,-3.532855884
3,2.424135605,-6.192867534,-3.768731929
4,1.818101703,-5.313381955,-3.495280252
