Distance (Angstrom),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0.5,14.54481362,-17.38616372,-2.841350103
0.6,12.12067802,-15.80028885,-3.67961083
0.7,10.38915259,-14.48053194,-4.091379354
0.8,9.090508514,-13.36902426,-4.278515751
0.9,8.080452001,-12.42233178,-4.341879784
1,7.272406807,-11.60847245,-4.336065642
1.1,6.611278908,-10.90379077,-4.292511863
1.2,6.060339026,-10.29049904,-4.230160017
1.3,5.594159093,-9.754969542,-4.160810449
1.4,5.194576302,-9.286508516,-4.091932215
1.5,4.848271213,-8.876422849,-4.028151636
1.6,4.545254257,-8.517325395,-3.972071138
1.7,4.277886356,-8.20267509,-3.924788734
1.8,4.040226005,-7.92653567,-3.886309664
1.9,3.827582529,-7.683501218,-3.855918689
2,3.636203411,-7.46871324,-3.832509829
2.25,3.232180802,-7.028746102,-3.7965653
2.5,2.908962723,-6.689182221,-3.780219498
3,2.424135605,-6.194407791,-3.770272186
4,1.818101703,-5.58645885,-3.768357147
