Distance (Angstrom),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0.5,14.54481362,-17.33279358,-2.787979955
0.6,12.12067802,-15.73527827,-3.614600247
0.7,10.38915259,-14.40222956,-4.013076971
0.8,9.090508514,-13.27514779,-4.184639274
0.9,8.080452001,-12.30991088,-4.229458877
1,7.272406807,-11.47379024,-4.201383434
1.1,6.611278908,-10.74235775,-4.131078844
1.2,6.060339026,-10.09708458,-4.036745558
1.3,5.594159093,-9.52373418,-3.929575087
1.4,5.194576302,-9.011270718,-3.816694416
1.5,4.848271213,-8.551059609,-3.702788397
1.6,4.545254257,-8.136256501,-3.591002244
1.7,4.277886356,-7.761340343,-3.483453987
1.8,4.040226005,-7.421765661,-3.381539655
1.9,3.827582529,-7.113711792,-3.286129264
2,3.636203411,-6.833906156,-3.197702745
2.25,3.232180802,-6.240090679,-3.007909877
2.5,2.908962723,-5.769379888,-2.860417165
3,2.424135605,-5.090591975,-2.66645637
4,1.818101703,-4.316282975,-2.498181272
