Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
1.2,3.156655464,-4.850589193,-1.693933729
1.25,3.119251771,-4.811404053,-1.692152282
1.3,3.082316825,-4.772294673,-1.689977848
1.35,3.045908677,-4.738843193,-1.692934516
1.4,3.010075631,-4.695020488,-1.684944857
1.414213562,3,-4.67275631,-1.67275631
1.45,2.974857194,-4.667061419,-1.692204225
1.5,2.940285,-4.653625859,-1.713340859
1.6,2.873171623,-4.629087705,-1.755916082
1.7,2.808862527,-4.611813804,-1.802951278
1.8,2.747408113,-4.594748832,-1.847340718
1.9,2.688801324,-4.576531159,-1.887729836
2,2.632993162,-4.558463935,-1.925470773
2.1,2.579905011,-4.537010242,-1.957105231
2.2,2.529438226,-4.513809304,-1.984371079
2.3,2.481481481,-4.490841742,-2.00936026
2.4,2.435916317,-4.467238478,-2.031322161
2.5,2.392621248,-4.443680485,-2.051059238
3,2.206045378,-4.316660202,-2.110614824
3.5,2.059625886,-4.206268652,-2.146642766
4,1.942809042,-4.104054101,-2.16124506
5,1.769800359,-3.940369911,-2.170569552
7,1.560112034,-3.726339308,-2.166227274
10,1.396059017,-3.568338497,-2.17227948
