Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-ov Electronic Energy (Hartree),AP1roGSDGeneralized_sen-ov Total Energy (Hartree)
1.2,3.156655464,-4.851087951,-1.694432487
1.25,3.119251771,-4.812002533,-1.692750762
1.3,3.082316825,-4.763393703,-1.681076878
1.35,3.045908677,-4.724565045,-1.678656368
1.4,3.010075631,-4.697181039,-1.687105409
1.414213562,3,-4.690553253,-1.690553253
1.45,2.974857194,-4.655967877,-1.681110683
1.5,2.940285,-4.648393789,-1.708108788
1.6,2.873171623,-4.609247456,-1.736075833
1.7,2.808862527,-4.574133132,-1.765270606
1.8,2.747408113,-4.553624671,-1.806216558
1.9,2.688801324,-4.539949549,-1.851148226
2,2.632993162,-4.574107392,-1.94111423
2.1,2.579905011,-4.546563574,-1.966658563
2.2,2.529438226,-4.477695029,-1.948256803
2.3,2.481481481,-4.452946426,-1.971464944
2.4,2.435916317,-4.430013506,-1.994097189
2.5,2.392621248,-4.440585173,-2.047963925
3,2.206045378,-4.286260203,-2.080214825
3.5,2.059625886,-4.171727152,-2.112101267
4,1.942809042,-4.069489801,-2.126680759
5,1.769800359,-3.905232733,-2.135432374
7,1.560112034,-3.696205995,-2.136093961
10,1.396059017,-3.531172487,-2.13511347
