Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
1.2,3.156655464,-4.833232371,-1.676576906
1.25,3.119251771,-4.79361974,-1.674367969
1.3,3.082316825,-4.74075169,-1.658434865
1.35,3.045908677,-4.680617928,-1.634709251
1.4,3.010075631,-4.676079287,-1.666003656
1.414213562,3,-4.652688743,-1.652688742
1.45,2.974857194,-4.646569132,-1.671711938
1.5,2.940285,-4.632553742,-1.692268741
1.6,2.873171623,-4.604541188,-1.731369565
1.7,2.808862527,-4.579661908,-1.770799382
1.8,2.747408113,-4.556877874,-1.80946976
1.9,2.688801324,-4.535883233,-1.847081909
2,2.632993162,-4.516004036,-1.883010874
2.1,2.579905011,-4.496167983,-1.916262972
2.2,2.529438226,-4.475078211,-1.945639985
2.3,2.481481481,-4.452946387,-1.971464905
2.4,2.435916317,-4.430012914,-1.994096597
2.5,2.392621248,-4.406498223,-2.013876975
3,2.206045378,-4.286260369,-2.08021499
3.5,2.059625886,-4.171727032,-2.112101146
4,1.942809042,-4.069489988,-2.126680946
5,1.769800359,-3.905232625,-2.135432267
7,1.560112034,-3.696205669,-2.136093636
10,1.396059017,-3.531172349,-2.135113332
