Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
1.2,3.156655464,-4.833232319,-1.676576855
1.25,3.119251771,-4.793619521,-1.67436775
1.3,3.082316825,-3.966923455,-0.88460663
1.35,3.045908677,-4.667453127,-1.62154445
1.4,3.010075631,-4.681724771,-1.671649141
1.414213562,3,-4.645686852,-1.645686851
1.45,2.974857194,-4.64855134,-1.673694146
1.5,2.940285,-4.637295884,-1.697010884
1.6,2.873171623,-4.597158116,-1.723986493
1.7,2.808862527,-4.565980369,-1.757117843
1.8,2.747408113,-4.550901731,-1.803493618
1.9,2.688801324,-4.534260632,-1.845459308
2,2.632993162,-4.515970148,-1.882976986
2.1,2.579905011,-4.496167806,-1.916262795
2.2,2.529438226,-4.475078368,-1.945640143
2.3,2.481481481,-4.452945981,-1.971464499
2.4,2.435916317,-4.430013125,-1.994096808
2.5,2.392621248,-4.406497972,-2.013876725
3,2.206045378,-4.286260447,-2.080215069
3.5,2.059625886,-4.17172756,-2.112101674
4,1.942809042,-4.069489711,-2.12668067
5,1.769800359,-3.905233489,-2.13543313
7,1.560112034,-3.696205869,-2.136093836
10,1.396059017,-3.531173095,-2.135114078
