Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
1.2,3.156655464,-4.851186797,-1.694531333
1.25,3.119251771,-4.812153202,-1.692901431
1.3,3.082316825,-4.709847451,-1.627530626
1.35,3.045908677,-4.739700619,-1.693791942
1.4,3.010075631,-4.699787683,-1.689712053
1.414213562,3,-4.687819601,-1.687819601
1.45,2.974857194,-4.653958388,-1.679101194
1.5,2.940285,-4.650490224,-1.710205224
1.6,2.873171623,-4.610214213,-1.73704259
1.7,2.808862527,-4.574541635,-1.765679108
1.8,2.747408113,-4.553869128,-1.806461015
1.9,2.688801324,-4.540078437,-1.851277114
2,2.632993162,-4.575232353,-1.942239191
2.1,2.579905011,-4.547591193,-1.967686182
2.2,2.529438226,-4.477793711,-1.948355486
2.3,2.481481481,-4.453023936,-1.971542455
2.4,2.435916317,-4.430084625,-1.994168308
2.5,2.392621248,-4.441129092,-2.048507845
3,2.206045378,-4.286311731,-2.080266353
3.5,2.059625886,-4.171775075,-2.112149189
4,1.942809042,-4.069537068,-2.126728026
5,1.769800359,-3.905279947,-2.135479588
7,1.560112034,-3.696255637,-2.136143604
10,1.396059017,-3.531223221,-2.135164204
