Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
1.2,3.156655464,-4.833232419,-1.676576955
1.25,3.119251771,-4.793619826,-1.674368054
1.3,3.082316825,-4.713009135,-1.630692309
1.35,3.045908677,-4.682998365,-1.637089688
1.4,3.010075631,-4.681733327,-1.671657696
1.414213562,3,-4.644864597,-1.644864597
1.45,2.974857194,-4.648600949,-1.673743755
1.5,2.940285,-4.637395165,-1.697110164
1.6,2.873171623,-4.597157599,-1.723985975
1.7,2.808862527,-4.565980573,-1.757118046
1.8,2.747408113,-4.550901931,-1.803493818
1.9,2.688801324,-4.534260448,-1.845459125
2,2.632993162,-4.515970046,-1.882976884
2.1,2.579905011,-4.496168377,-1.916263365
2.2,2.529438226,-4.475078562,-1.945640337
2.3,2.481481481,-4.452946563,-1.971465082
2.4,2.435916317,-4.430013253,-1.994096936
2.5,2.392621248,-4.406497566,-2.013876318
3,2.206045378,-4.286260276,-2.080214898
3.5,2.059625886,-4.171727542,-2.112101656
4,1.942809042,-4.069490288,-2.126681246
5,1.769800359,-3.905232513,-2.135432154
7,1.560112034,-3.696205938,-2.136093904
10,1.396059017,-3.53117224,-2.135113223
