Alpha (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
1.2,3.156655464,-4.85598515,-1.699329686
1.25,3.119251771,-4.817080197,-1.697828426
1.3,3.082316825,-4.776039128,-1.693722303
1.35,3.045908677,-4.737744833,-1.691836156
1.4,3.010075631,-4.70138604,-1.69131041
1.414213562,3,-4.690554044,-1.690554044
1.45,2.974857194,-4.683008344,-1.70815115
1.5,2.940285,-4.673369733,-1.733084733
1.6,2.873171623,-4.655743311,-1.782571688
1.7,2.808862527,-4.638519332,-1.829656805
1.8,2.747408113,-4.620545815,-1.873137702
1.9,2.688801324,-4.601376559,-1.912575235
2,2.632993162,-4.580932394,-1.947939233
2.1,2.579905011,-4.559311313,-1.979406301
2.2,2.529438226,-4.536688599,-2.007250373
2.3,2.481481481,-4.513265488,-2.031784006
2.4,2.435916317,-4.489243234,-2.053326917
2.5,2.392621248,-4.464810548,-2.0721893
3,2.206045378,-4.341770459,-2.13572508
3.5,2.059625886,-4.226187906,-2.166562021
4,1.942809042,-4.12374011,-2.180931069
5,1.769800359,-3.959974596,-2.190174237
7,1.560112034,-3.752204104,-2.19209207
10,1.396059017,-3.588200138,-2.192141121
