Alpha (Bohr),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
1.2,3.156655464,-4.786170492,-1.629515028
1.25,3.119251771,-4.745517187,-1.626265416
1.3,3.082316825,-4.654621781,-1.572304956
1.35,3.045908677,-4.637401049,-1.591492372
1.4,3.010075631,-4.624140831,-1.6140652
1.414213562,3,-4.620741923,-1.620741923
1.45,2.974857194,-4.603914083,-1.629056889
1.5,2.940285,-4.595036179,-1.654751179
1.6,2.873171623,-4.580106569,-1.706934945
1.7,2.808862527,-4.565978904,-1.757116377
1.8,2.747408113,-4.550900443,-1.80349233
1.9,2.688801324,-4.534258668,-1.845457345
2,2.632993162,-4.515969069,-1.882975907
2.1,2.579905011,-4.496167176,-1.916262165
2.2,2.529438226,-4.475075273,-1.945637047
2.3,2.481481481,-4.452943168,-1.971461687
2.4,2.435916317,-4.430011115,-1.994094798
2.5,2.392621248,-4.406496062,-2.013874814
3,2.206045378,-4.286256364,-2.080210986
3.5,2.059625886,-4.171725025,-2.11209914
4,1.942809042,-4.069487854,-2.126678813
5,1.769800359,-3.905230743,-2.135430385
7,1.560112034,-3.696204844,-2.13609281
10,1.396059017,-3.531171113,-2.135112095
