Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
1.2,3.156655464,-4.850589472,-1.693934008
1.25,3.119251771,-4.811403785,-1.692152014
1.3,3.082316825,-4.777687636,-1.69537081
1.35,3.045908677,-4.723887853,-1.677979176
1.4,3.010075631,-4.695020291,-1.68494466
1.414213562,3,-4.677639347,-1.677639347
1.45,2.974857194,-4.667047738,-1.692190544
1.5,2.940285,-4.653625556,-1.713340555
1.6,2.873171623,-4.629084549,-1.755912926
1.7,2.808862527,-4.611823177,-1.802960651
1.8,2.747408113,-4.594757748,-1.847349635
1.9,2.688801324,-4.576534963,-1.887733639
2,2.632993162,-4.55845765,-1.925464488
2.1,2.579905011,-4.537006556,-1.957101545
2.2,2.529438226,-4.51381118,-1.984372954
2.3,2.481481481,-4.486087364,-2.004605883
2.4,2.435916317,-4.467238461,-2.031322144
2.5,2.392621248,-4.443665685,-2.051044437
3,2.206045378,-4.321302265,-2.115256887
3.5,2.059625886,-4.206268643,-2.146642757
4,1.942809042,-4.104054192,-2.16124515
5,1.769800359,-3.940369853,-2.170569494
7,1.560112034,-3.72633931,-2.166227276
10,1.396059017,-3.568338477,-2.17227946
