Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-v Electronic Energy (Hartree),AP1roGSDSpin_sen-v Total Energy (Hartree)
1.2,3.156655464,-4.833232405,-1.676576941
1.25,3.119251771,-4.793619554,-1.674367783
1.3,3.082316825,-4.681804583,-1.599487758
1.35,3.045908677,-4.668509631,-1.622600954
1.4,3.010075631,-4.68177419,-1.67169856
1.414213562,3,-4.649224746,-1.649224745
1.45,2.974857194,-4.648524595,-1.6736674
1.5,2.940285,-4.63732117,-1.69703617
1.6,2.873171623,-4.597065252,-1.723893629
1.7,2.808862527,-4.565980066,-1.757117539
1.8,2.747408113,-4.550901944,-1.80349383
1.9,2.688801324,-4.534260551,-1.845459228
2,2.632993162,-4.515969909,-1.882976748
2.1,2.579905011,-4.496167875,-1.916262864
2.2,2.529438226,-4.475077801,-1.945639575
2.3,2.481481481,-4.452946814,-1.971465333
2.4,2.435916317,-4.430013132,-1.994096814
2.5,2.392621248,-4.40649798,-2.013876732
3,2.206045378,-4.28626025,-2.080214871
3.5,2.059625886,-4.17172727,-2.112101384
4,1.942809042,-4.069490203,-2.126681161
5,1.769800359,-3.905232361,-2.135432002
7,1.560112034,-3.696205361,-2.136093327
10,1.396059017,-3.531172373,-2.135113356
