Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
1.2,3.156655464,-4.786173137,-1.629517673
1.25,3.119251771,-4.745518192,-1.62626642
1.3,3.082316825,-4.655881364,-1.573564539
1.35,3.045908677,-4.638593936,-1.592685259
1.4,3.010075631,-4.628672033,-1.618596403
1.414213562,3,-4.621728167,-1.621728167
1.45,2.974857194,-4.604985401,-1.630128206
1.5,2.940285,-4.595813588,-1.655528587
1.6,2.873171623,-4.580547074,-1.707375451
1.7,2.808862527,-4.566257152,-1.757394625
1.8,2.747408113,-4.551096787,-1.803688673
1.9,2.688801324,-4.534407593,-1.845606269
2,2.632993162,-4.516088145,-1.883094983
2.1,2.579905011,-4.496263764,-1.916358753
2.2,2.529438226,-4.475161145,-1.94572292
2.3,2.481481481,-4.453023147,-1.971541665
2.4,2.435916317,-4.430082175,-1.994165858
2.5,2.392621248,-4.406560125,-2.013938877
3,2.206045378,-4.286309298,-2.08026392
3.5,2.059625886,-4.171772577,-2.112146691
4,1.942809042,-4.069534261,-2.126725219
5,1.769800359,-3.905277133,-2.135476774
7,1.560112034,-3.696253929,-2.136141895
10,1.396059017,-3.531221849,-2.135162831
