Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
1.2,3.156655464,-4.850589665,-1.693934201
1.25,3.119251771,-4.811404105,-1.692152334
1.3,3.082316825,-4.757457557,-1.675140732
1.35,3.045908677,-4.721353028,-1.67544435
1.4,3.010075631,-4.695020616,-1.684944985
1.414213562,3,-4.690553875,-1.690553875
1.45,2.974857194,-4.672048118,-1.697190924
1.5,2.940285,-4.657274938,-1.716989938
1.6,2.873171623,-4.633789823,-1.7606182
1.7,2.808862527,-4.615648397,-1.80678587
1.8,2.747408113,-4.597718561,-1.850310448
1.9,2.688801324,-4.578858189,-1.890056866
2,2.632993162,-4.558802198,-1.925809036
2.1,2.579905011,-4.537576277,-1.957671266
2.2,2.529438226,-4.515326739,-1.985888513
2.3,2.481481481,-4.492244377,-2.010762895
2.4,2.435916317,-4.462540009,-2.026623692
2.5,2.392621248,-4.44436675,-2.051745502
3,2.206045378,-4.322261258,-2.11621588
3.5,2.059625886,-4.207135209,-2.147509324
4,1.942809042,-4.099046566,-2.156237525
5,1.769800359,-3.941183372,-2.171383013
7,1.560112034,-3.733294348,-2.173182314
10,1.396059017,-3.569171891,-2.173112874
